,subset_0,subset_0_labels,subset_1,subset_1_labels,subset_2,subset_2_labels,subset_3,subset_3_labels,subset_4,subset_4_labels,subset_5,subset_5_labels,subset_6,subset_6_labels,subset_7,subset_7_labels,subset_8,subset_8_labels,subset_9,subset_9_labels
134,162979,0,52763,0,95258,0,28452,0,87868,0,10377,0,59915,0,110737,0,1578,0,178459,0
135,73619,0,105088,0,174668,0,37362,0,191861,0,199285,0,130772,0,65063,0,109085,0,27960,0
136,172080,0,163286,0,177463,0,38350,0,43820,0,85096,0,13392,0,63327,0,197588,0,35901,0
137,116642,0,180469,0,159567,0,66815,0,14264,0,126634,0,197598,0,40048,0,137534,0,120317,0
138,77115,0,14174,0,31547,0,37763,0,180029,0,193329,0,144084,0,177690,0,33922,-1,12702,0
139,92134,0,58449,0,144084,0,124829,0,31238,0,197070,0,1002,0,122432,0,48901,0,124753,0
140,35220,0,186503,0,2297,0,105032,0,58096,0,75002,0,131519,0,60845,0,13689,0,94150,0
141,183122,0,182462,0,196004,0,24887,0,83804,0,49396,0,12145,0,71955,0,175243,0,67401,0
142,126253,0,92633,0,132033,0,28940,0,157807,0,4945,0,130209,0,130134,0,178741,0,84486,0
143,62764,0,126758,0,166889,0,101483,0,196583,0,10675,0,158697,0,151401,0,190569,0,22300,0
144,94982,0,12014,0,17617,0,113194,0,10262,0,34168,0,147688,0,87804,0,75842,0,40074,0
145,138533,0,173875,0,195256,0,56430,0,108223,0,90234,0,196294,0,141834,0,84854,0,19833,0
146,192451,0,198769,0,14977,0,67507,0,153509,0,129756,0,52340,0,181197,0,19748,0,138954,0
147,163442,0,53753,0,81585,0,58265,0,162401,0,192512,0,13736,0,125351,0,53909,0,108995,0
148,151516,0,67830,0,195241,0,199530,0,181143,0,80301,0,180823,0,186228,0,168145,0,117299,0
149,35147,0,116357,0,181199,0,53947,0,35549,0,36816,0,23774,0,166845,0,67287,0,83963,0
150,39655,0,166952,0,186399,0,167299,-1,140940,0,154850,0,47032,0,190807,0,21902,0,106988,0
151,136967,0,99355,0,92189,0,52767,0,54173,0,53464,0,125803,0,101071,0,37655,0,58066,0
152,24285,0,109399,0,134685,0,125022,0,100470,0,54260,0,117858,0,17276,0,36191,0,81033,0
153,58113,0,80615,0,42478,0,86907,0,62040,0,135712,0,48625,0,134548,0,78856,0,96468,0
154,36433,0,115171,0,159564,0,19630,0,191423,0,180682,0,185651,0,77153,0,19365,0,140126,0
155,3164,0,2110,0,125413,0,94921,0,153862,0,180405,0,100993,0,42582,0,125967,0,42281,0
156,126450,-1,33120,0,177583,0,80058,0,173713,0,109673,0,29838,0,75400,0,158335,0,135255,0
157,181095,0,191785,0,114727,0,45508,0,120913,0,182343,0,74311,0,24612,0,162675,0,30205,0
158,42582,0,27966,0,178220,0,116902,0,26829,0,195795,0,132530,0,195006,0,51389,0,75001,0
159,191607,0,69046,0,118513,0,83930,0,143143,0,117583,0,196134,0,187404,0,27905,0,148020,0
160,29051,0,140791,0,140433,0,97739,0,101962,0,93074,0,48495,0,7446,0,46327,0,104184,0
161,141789,0,112744,0,125942,0,88630,0,17375,0,108435,0,55131,0,95377,0,39021,-1,82496,0
162,19472,0,178400,0,174097,0,56501,0,119903,0,108334,0,28217,0,121138,0,13417,0,36144,0
163,181514,0,53846,0,82678,0,95003,0,41894,0,66460,0,129004,0,41382,0,152291,0,70994,0
164,198191,0,80557,0,37971,0,140386,0,188933,0,171705,0,193626,0,111675,0,143919,0,59187,0
165,111989,0,156909,0,144272,0,70088,0,150,0,177834,0,194687,0,63135,0,82040,0,81846,0
166,5253,0,174123,0,90796,0,74810,0,146748,0,102619,0,126403,0,103145,0,136619,0,74730,0
167,117405,0,183848,0,116677,0,44458,0,194643,0,136374,0,129409,0,153925,0,162946,0,38150,0
168,196795,0,29837,0,188452,0,23481,0,84074,0,177767,0,168449,0,47091,0,106949,0,131262,0
169,116655,0,9236,0,176565,0,158463,0,64736,0,116444,0,70621,0,141491,0,137264,0,147118,0
170,174093,0,20973,0,62482,0,18505,0,144610,0,69996,0,116421,0,75314,0,67121,0,25620,0
171,32580,0,17446,0,162549,0,168323,0,171144,0,17757,0,58969,0,130344,0,53750,0,130441,0
172,84215,0,96945,0,9113,0,98666,-1,155491,0,180708,0,78649,0,161795,0,87007,0,145255,0
173,3915,0,56372,0,154970,0,79052,0,171363,0,104150,0,188599,0,28328,0,134114,0,87128,0
174,65099,0,91421,0,174849,0,74437,0,132059,0,23365,0,57350,0,176288,0,79632,0,81941,0
175,183142,0,199377,0,61975,0,40968,0,35465,0,184020,0,33848,0,51309,0,123415,0,133545,0
176,20535,0,6931,0,195201,0,43221,0,13941,0,129817,0,137665,0,180385,0,144922,0,195224,0
177,31784,0,60087,0,162202,0,57906,0,115445,0,47029,0,142089,0,78724,0,161875,0,63506,0
178,8127,0,117006,0,18728,0,130584,0,37945,0,54889,0,32173,0,42989,0,142787,0,171185,0
179,94182,-1,143112,0,140792,0,79813,0,140826,0,161121,0,28251,0,176938,0,109655,0,78652,0
180,50272,0,24389,0,49114,0,162627,0,151775,0,121058,0,48189,0,79093,0,45356,0,195376,0
181,55329,0,20135,0,184484,0,189170,0,45523,0,139287,0,102869,0,126218,0,426,0,194337,0
182,52457,0,143097,0,52096,0,99742,0,163180,0,180207,0,86555,0,93643,0,50604,0,90402,0
183,1421,0,66426,0,142163,0,36941,0,138103,0,5258,0,24628,0,5940,0,71871,0,198584,0
184,6961,0,36007,0,199178,0,149281,0,2348,0,64359,0,30179,0,151270,0,59795,0,136176,0
185,29067,0,192080,0,72647,0,115971,0,198281,0,67397,0,170485,0,22979,0,147344,0,116507,0
186,140275,0,40237,0,64454,0,66422,0,100610,0,187947,0,50972,0,58325,0,141664,0,119449,0
187,90478,0,193446,0,68303,0,88702,0,173316,0,10305,0,168307,0,105757,0,138346,0,35203,0
188,2273,0,126768,0,189668,0,31481,0,192008,0,100256,0,1542,0,147387,0,189201,0,118810,0
189,43129,0,133108,0,6277,0,118606,0,60335,0,152490,0,143583,0,170950,0,188873,0,37998,0
190,121740,0,199092,0,185824,0,129168,0,148664,0,141809,0,67233,0,52775,0,24338,0,24032,0
191,51716,-1,11932,0,39603,0,56092,0,34611,0,149693,0,101846,0,135336,0,23575,0,136731,0
192,54402,0,194362,0,56330,0,168862,0,70661,0,62726,0,42577,0,112188,0,181697,0,129846,0
193,98726,0,76987,0,154051,0,96036,0,156676,0,164416,0,183220,0,61840,0,157424,0,162879,0
194,11554,0,127057,0,188632,0,108255,0,84209,0,33006,0,77393,0,183594,0,33125,0,198664,0
195,33053,0,20593,0,156750,0,136003,0,173241,0,77148,0,4040,0,73980,0,74149,0,50302,0
196,63089,0,134198,0,12222,0,94706,0,18296,0,43661,0,166474,0,6746,0,37132,0,112722,0
197,105825,0,194642,0,4701,0,38951,0,174439,0,148582,0,145485,0,57667,0,113087,0,90306,0
198,152466,0,112061,0,738,0,130628,0,190187,0,107071,0,100496,0,145769,0,92911,0,154688,0
199,151893,0,175750,0,137657,0,21063,0,37014,-1,13061,0,171311,0,68689,0,103000,0,93150,0
200,53562,0,121135,0,121649,0,12758,0,40215,0,147892,0,152155,0,94359,0,150498,0,150162,0
201,162727,0,108836,0,167861,0,108301,0,156802,0,171823,0,93051,0,93475,0,61440,0,106190,0
202,14692,0,63436,0,67226,0,171202,0,184473,0,9523,0,28612,0,142354,0,150248,0,114286,0
203,3139,0,108653,0,109509,0,85562,0,185877,0,121380,0,185062,0,156749,0,164846,0,68991,0
204,93271,0,80593,0,82991,0,151925,0,39098,0,180998,0,95333,0,78445,0,18434,0,171589,0
205,81229,0,41999,0,5694,0,50694,0,126036,0,164382,0,3734,0,165886,0,56572,0,27719,0
206,153599,0,68739,0,52133,0,120914,0,183320,0,139079,0,107098,0,193754,0,49367,0,55452,0
207,12195,0,67404,0,71483,0,16300,0,28723,0,50996,0,91117,0,45367,0,162384,0,197001,0
208,161252,0,32248,0,177254,0,87253,0,178082,0,102550,0,124021,0,99043,0,78873,0,140290,0
209,183630,0,165635,0,148772,0,153013,0,53016,0,68722,0,13156,0,148148,0,68572,0,13420,0
210,30884,0,188685,0,192854,0,171966,0,28407,0,15592,0,82461,0,173611,0,3800,0,155665,0
211,86892,0,27086,0,52213,0,76888,0,49742,0,66104,0,5540,0,53870,0,75388,0,167439,0
212,167659,0,95784,0,188154,0,167965,0,36304,0,37614,0,140000,0,155081,0,84844,0,15835,0
213,149268,0,56035,0,181455,0,188104,0,193611,0,121935,0,199091,0,11183,0,82078,0,121544,0
214,111534,0,83787,0,57509,0,149562,0,121391,0,105430,0,170983,0,60790,0,100278,0,18694,0
215,80463,0,57980,0,107767,0,89446,0,36339,0,83844,0,117725,0,133640,0,83520,0,53081,0
216,26380,0,146153,0,156579,0,197408,0,76158,0,164921,0,82032,0,151690,0,79537,0,52184,0
217,198967,0,27166,0,12631,0,172622,0,187301,0,100570,0,38683,0,12237,0,136497,0,12893,0
218,113124,0,157792,0,175363,0,65681,0,57357,0,63653,0,162932,0,81693,0,116427,0,27923,0
219,91415,0,9937,0,69718,0,152597,0,57435,0,54012,0,121988,0,8471,0,114400,0,32825,0
220,102661,0,165964,0,5934,0,194785,0,68507,0,113188,0,163149,0,117798,0,189741,0,79250,0
221,65419,0,36361,0,64636,0,31070,0,31459,0,140421,0,50706,0,77967,0,57628,0,69916,0
222,166056,0,35053,0,54143,0,135809,0,38656,0,193545,0,172030,0,120904,0,127863,0,93744,0
223,130153,0,67150,0,118504,0,40555,0,55361,0,11859,0,18568,0,84858,0,64329,0,32701,0
224,71655,0,108483,0,6631,0,174063,0,193280,0,107387,0,99548,0,85368,0,68871,0,104130,0
225,32169,0,153,0,61374,0,117465,0,65373,0,155179,0,50549,0,102752,0,41149,0,80773,0
226,37349,0,44491,0,90006,0,33951,0,67726,0,155677,0,167266,0,84172,0,175135,0,169770,0
227,165055,0,25052,0,124731,0,27623,0,15895,0,16301,0,102518,0,39965,0,810,0,196028,0
228,39438,0,124654,0,94066,0,83357,0,8756,0,113195,0,132921,0,31554,0,124367,0,84127,0
229,53399,0,115466,0,135525,0,97089,0,159669,0,17473,0,13132,0,6687,0,13079,0,171675,0
230,100376,0,188769,-1,26181,0,172585,0,61570,0,153085,0,141515,0,123784,0,41462,0,163152,0
231,48201,0,168583,0,70106,0,112294,0,129175,0,123716,0,189911,0,144467,0,21601,0,39018,0
232,57252,0,72772,0,73975,0,160289,0,114939,0,175822,0,73892,0,168562,0,189680,0,56422,0
233,79830,0,107094,0,25790,0,189848,0,116451,0,185687,0,181376,0,164507,0,46729,0,51151,0
234,192150,0,63501,0,138992,0,103617,0,153945,0,67121,0,8649,0,100505,0,75019,0,14872,0
235,137270,0,65891,0,107417,0,29264,0,18731,0,67247,0,62500,0,190064,0,88425,0,16730,0
236,179611,0,64849,0,147447,0,79272,0,105686,0,93503,0,56937,0,139323,0,27810,0,178009,0
237,436,0,70350,0,25261,0,8912,0,153003,0,113146,0,45316,0,5531,0,3223,0,194259,0
238,1944,0,116378,0,95214,0,159251,0,53237,0,193619,0,56159,0,160847,0,14662,0,138284,0
239,178402,0,190495,0,112177,0,82261,0,111247,0,19326,0,96778,0,57704,0,113024,0,187824,0
240,123820,0,175551,0,48258,0,117337,0,111620,0,179581,0,134169,0,70014,0,63850,0,121675,0
241,129747,0,88673,0,17952,0,129478,0,161519,0,83617,0,125594,0,147775,0,37494,0,128584,0
242,62611,0,181767,0,86831,0,130037,0,81044,0,177716,0,192644,0,84785,0,119547,0,153775,0
243,33097,0,164975,0,171867,0,81711,0,168756,0,47737,0,54002,0,171302,0,173931,0,988,0
244,176688,0,113321,0,152807,0,134808,0,172475,0,95041,0,159995,0,199087,0,193906,0,28185,0
245,159497,0,183782,0,197782,0,116996,0,116052,0,142681,0,79262,0,10276,0,58284,0,35876,0
246,2460,0,44058,0,85332,0,62393,0,43935,0,74595,0,168299,0,88452,0,93148,0,99169,0
247,111055,0,16573,0,42050,0,12880,0,63149,0,75243,0,31109,0,98086,0,116299,0,72098,0
248,7279,0,14993,0,188807,0,28664,0,103137,0,18420,0,45126,0,188354,0,62778,0,121319,0
249,169609,0,65691,0,154293,0,67967,0,43014,0,6293,0,146442,0,120285,0,139547,0,91878,0
250,93004,0,178681,0,173129,0,87499,0,9672,0,67407,0,107157,0,156494,0,120417,0,84662,0
251,71985,0,70277,0,21846,0,26209,0,53693,0,29326,0,61757,0,199504,0,36761,0,48315,0
252,134954,0,171063,0,96766,0,133296,0,83024,0,618,0,62999,0,8103,0,44094,0,29863,0
253,130075,0,185754,0,147955,0,155932,0,152627,0,98289,0,122982,0,80251,0,2666,0,48129,0
254,133848,0,18956,0,39682,0,87542,0,109476,0,6371,0,92694,0,149660,0,68331,0,171113,0
255,134382,0,65101,0,48549,0,33268,0,112740,0,196868,0,179088,0,3708,0,121476,0,104963,0
256,136143,0,15863,0,141938,0,174747,0,14977,0,26016,0,55456,0,117208,0,67743,0,94146,0
257,26411,0,184643,0,29515,0,102726,0,1161,0,119652,0,83576,0,144939,0,145239,0,191652,0
258,23835,0,133657,0,81070,0,185471,0,154890,0,30923,0,142800,0,41996,0,156892,0,162970,0
259,123642,0,62174,0,33812,0,69134,0,170114,0,171774,0,133370,0,139131,0,13681,0,115503,0
260,157120,0,159226,0,140454,0,48235,0,129243,0,86449,0,25887,0,57608,0,129108,0,41868,0
261,108441,0,99899,0,169962,0,51596,0,80705,0,122131,0,23573,0,164153,0,65991,0,179353,0
262,114791,0,51513,0,143704,0,73708,0,198292,0,199313,0,32508,0,147295,0,99591,0,69295,0
263,91423,0,121158,0,51281,0,84281,0,176910,0,61033,0,102888,0,171898,0,183529,0,177714,0
